
 X     -ErrX   +ErrX   Y     -ErrY    +ErrY
 125.0  25.0   25.0   1.63   0.16     0.44
 175.0  25.0   25.0   1.71   0.08     0.37
 225.0  25.0   25.0   1.58   0.27     0.40
 275.0  25.0   25.0   1.22   0.11     0.27
 325.0  25.0   25.0   1.08   0.09     0.21
 375.0  25.0   25.0   0.94   0.08     0.18
 425.0  25.0   25.0   0.84   0.05     0.16
 475.0  25.0   25.0   0.79   0.05     0.15
 525.0  25.0   25.0   0.74   0.08     0.18
 575.0  25.0   25.0   0.72   0.27     0.25
 625.0  25.0   25.0   0.71   0.02     0.13
 675.0  25.0   25.0   0.72   0.04     0.13
 725.0  25.0   25.0   0.61   0.02     0.13
 775.0  25.0   25.0   0.64   0.09     0.14
 825.0  25.0   25.0   0.5    0.05     0.14
 875.0  25.0   25.0   0.55   0.08     0.14
 925.0  25.0   25.0   0.76   0.25     0.28
 975.0  25.0   25.0   0.42   0.47     0.45
1025.0  25.0   25.0   0.81   0.65     0.71
		     	    	     
